Этаж,Общее количество этаже в доме,Количество комнат,Площадь квартиры,Цена,Район,Улица,Номер дома,Метро,Расстояние до метро
5,5,1,31.5,12600000.0,Останкинский,1-я Останкинская ,19/1,Улица Академика Королёва,510.80057701431303
14,48,1,42.0,25500000.0,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,701.3007202696534
11,12,1,34.0,11200000.0,Люблино,Белореченская ,33,Люблино,703.8235214162929
2,5,1,15.2,14850000.0,Якиманка,переулок 1-й Хвостов,3АС2,Полянка,272.2238776664348
4,12,1,40.2,16200000.0,Сокольники,Большой Матросский переулок,1,Электрозаводская,995.2983573433771
1,29,1,24.0,13500000.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литБ,Аминьевская,284.1509471476928
2,12,1,48.6,24099622.0,Преображенское,Электрозаводская ,60,Преображенская площадь,428.4056925396633
30,44,1,37.5,18950000.0,Хорошево-Мневники,Шелепихинская набережная,40к1,Шелепиха,1776.6123565307046
9,9,1,32.6,9100000.0,Бибирево,Шенкурский проезд,8Б,Алтуфьево,727.4616858464577
2,8,1,29.9,12800000.0,Даниловский,Люсиновская ,72,Тульская,542.4016096312097
26,33,1,43.94,44606262.0,Пресненский, Пресненский Вал,27С6,Белорусская,657.1716261426567
7,22,1,41.0,29900000.0,Покровское-Стрешнево,бульвар Чкаловский,6к1,Спартак,914.9753956548342
13,24,1,44.3,23859980.0,Алексеевский,проспект Мира,186АС1,Улица Сергея Эйзенштейна,447.7086168648267
14,41,1,48.0,30900000.0,Раменки,1-й Сетуньский проезд,8,Кутузовская,974.4863778189932
14,32,1,44.0,32000000.0,Черемушки,Херсонская ,43к5,Зюзино,922.7062125095559
7,8,1,41.8,42500000.0,Беговой,Ленинградский проспект,вл8,Белорусская,336.7265264801356
17,17,1,40.0,8850000.0,Некрасовка, Недорубова,26,Некрасовка,724.6826423296757
3,9,1,30.0,10250000.0,Богородское,Малая Черкизовская ,64,Преображенская площадь,1166.9576468434277
7,21,1,36.1,10300000.0,Некрасовка,Рождественская ,31,Некрасовка,401.56549421621327
7,21,1,36.1,10300000.0,Некрасовка,Рождественская ,31,Некрасовка,401.56549421621327
3,15,1,32.3,12270000.0,Хорошевский,Ходынский бульвар,2,ЦСКА,420.99091165580165
3,5,1,33.5,17400000.0,Хорошево-Мневники, Нижние Мневники,9,Терехово ,557.6913098412521
5,48,1,42.2,26800000.0,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,701.3007202696534
5,14,1,38.9,8999000.0,Крюково,Зеленоград,к1416,Зеленоград — Крюково,1800.1547908000575
10,25,1,38.5,21900000.0,Лефортово, Крузенштерна,12к1,Авиамоторная,788.3344259632946
4,9,1,30.5,12900000.0,Преображенское,Знаменская ,53,Бульвар Рокоссовского,1298.7482574413991
18,26,1,26.1,12500000.0,Нагатино-Садовники,Нагатинская набережная,10А,Нагатинская,942.0164660988637
3,26,1,43.4,22978433.0,Филевский парк,Береговой проезд,2,Фили,1508.5812343021705
31,47,1,43.0,25542000.0,Хорошево-Мневники, Генерала Глаголева,14Ак1,Народное Ополчение,1508.6510472184236
3,15,1,32.3,12270000.0,Хорошевский,Ходынский бульвар,2,ЦСКА,420.99091165580165
1,9,1,32.3,8800000.0,Орехово-Борисово Северное,Домодедовская ,1К1,Домодедовская,971.3493862094203
12,21,1,36.8,14300000.0,Хорошевский, Зорге,9Ак1,Зорге,749.8151270143203
6,16,1,36.0,10650000.0,Чертаново Центральное, Красного Маяка,15К2,Пражская,1473.250322641883
39,58,1,37.5,26800000.0,Хорошево-Мневники, Народного Ополчения,15К2,Народное Ополчение,709.200883665002
26,40,1,37.1,18060094.0,Щукино,к2.1,к2.1,Стрешнево,10400.86839253543
3,49,1,42.6,25000000.0,Хорошево-Мневники, Генерала Глаголева,14Ак1,Бульвар Генерала Карбышева,410.489022162968
3,16,1,36.0,10850000.0,Чертаново Южное,Кировоградская ,44АК2,Улица Академика Янгеля,610.9421795709625
4,19,1,57.0,28600000.0,Даниловский, Эдуарда Стрельцова,2к1,Крестьянская застава,1915.4630552534038
8,30,1,36.6,14990000.0,Щукино,проезд 3-й Красногорский,5,Стрешнево,336.1799694809967
17,24,1,29.0,8700000.0,Митино,Митинская ,16,Митино,789.0588060397632
2,26,1,44.1,22146446.0,Филевский парк,Береговой проезд,2,Фили,1508.5812343021705
3,45,1,37.7,26390000.0,Дорогомилово,Кутузовский проезд,16С1,Фили,203.49797146745036
3,12,1,38.7,9600000.0,Бибирево, Лескова,30,Бибирево,1301.8688518430693
7,46,1,44.7,35715300.0,Хорошево-Мневники, Демьяна Бедного,вл24,Карамышевская,926.8536150490204
9,26,1,31.0,25500000.0,Пресненский,к2.1,к2.1,Белорусская,3265.9660512967293
1,9,1,26.8,10250000.0,Филевский парк,2-я Филевская ,5К3,Филёвский парк,589.8167550299285
18,29,1,38.61,24800000.0,Марфино, Академика Королева,21,Останкино,277.6610807321886
3,5,1,29.0,9999000.0,Щукино, Рогова,22,Серебряный Бор,11120.777124089365
21,21,1,39.8,14250000.0,Новогиреево,Свободный проспект,25/27,Новогиреево,504.62437964486435
8,9,1,94.0,166654950.0,Тверской,1-я Тверская-Ямская ,2А,Маяковская,2113.8256596887536
12,28,1,42.0,24000000.0,Даниловский,Дубининская ,59А,Серпуховская,1133.1223725969573
7,9,1,99.8,171750810.0,Тверской,1-я Тверская-Ямская ,2А,Маяковская,2113.8256596887536
4,6,1,50.17,59150090.0,Замоскворечье,Космодамианская набережная,4/22С9,Новокузнецкая,664.6670214388806
4,36,1,32.6,16850000.0,Хорошево-Мневники,Шелепихинская набережная,34к1,Шелепиха,812.2780458001091
6,17,1,45.0,12490000.0,Ярославский,Ярославское шоссе,107К2,Свиблово,3709.564318566626
32,34,1,38.0,19934800.0,Нагорный,Электролитный проезд,12Б,Нагорная,351.8690161698844
13,19,1,36.6,8300000.0,Некрасовка,Рождественская ,21к2,Некрасовка,729.3479156579499
2,6,1,74.27,109362575.0,Замоскворечье,Садовническая набережная,69,Павелецкая,754.1890810503835
3,12,1,37.0,8350000.0,Внуково, Базовая,2к2,Аэропорт Внуково,1835.275294673289
5,36,1,57.4,47355000.0,Беговой,Ленинградский проспект,вл8,Белорусская,336.7265264801356
1,12,1,30.7,8880000.0,Люблино,Белореченская ,15,Люблино,501.3807395946368
7,12,1,58.2,173940000.0,Хамовники,Фрунзенская набережная,30,Фрунзенская,401.2952672807682
1,12,1,32.5,9000000.0,Головинский,Флотская ,29К3,Моссельмаш,796.3474183959083
9,36,1,49.6,22800000.0,Хорошево-Мневники,Шелепихинская набережная,34к1,Шелепиха,812.2780458001091
14,14,1,35.8,9300000.0,Ярославский,Ярославское шоссе,133,Медведково,3699.323508200949
3,6,1,60.0,26000000.0,Щукино, Берзарина,12,Октябрьское поле,684.1883299983441
28,33,1,42.0,20900000.0,Очаково-Матвеевское,Очаковское шоссе,5к4,Аминьевская,374.84177119740724
14,29,1,42.3,19490000.0,Фили-Давыдково, Ивана Франко,6,Кунцевская,453.3087292344717
14,14,1,38.0,12900000.0,Ховрино, Ляпидевского,16,Речной вокзал,1244.5509287863188
30,33,1,40.0,23700000.0,Даниловский,Дубининская ,59Б,Серпуховская,1320.6787270599664
24,33,1,36.2,12000000.0,Очаково-Матвеевское,Очаково мкр,к1.1,Очаково,294.0472460789096
24,28,1,40.0,18658000.0,Щукино, Берзарина,32А,Октябрьское поле,1596.109161423138
5,17,1,36.4,10200000.0,Марьино,Новомарьинская ,30,Братиславская,1243.196681843713
21,23,1,32.0,16300000.0,Войковский,Выборгская ,7к2,Водный стадион,697.0152312023523
2,6,1,31.8,12200000.0,Южнопортовый, Петра Романова,5,Кожуховская,376.95088455160993
3,29,1,48.8,19500000.0,Даниловский, Виктора Маслова,2,Автозаводская,1350.3420578478308
53,55,1,43.62,32998530.0,Марьина роща, 4-я Марьиной рощи,12К1,Марьина Роща,572.1052925390313
5,14,1,39.0,19500000.0,Орехово-Борисово Южное,Каширское шоссе,65к3,Домодедовская,1395.5520285588148
22,27,1,49.0,28029000.0,Басманный, Фридриха Энгельса,56С9,Бауманская,986.1243898933393
3,9,1,29.6,10250000.0,Богородское,Малая Черкизовская ,64,Преображенская площадь,1166.9576468434277
25,25,1,39.0,10300000.0,Некрасовка, Недорубова,5,Некрасовка,340.95636604613236
23,36,1,43.6,41467960.0,Беговой,Ленинградский проспект,вл8,Белорусская,336.7265264801356
4,22,1,37.5,10300000.0,Ново-Переделкино,Новопеределкинская ,8,Боровское шоссе,813.3924966023139
3,12,1,49.95,29254516.0,Преображенское,Электрозаводская ,60,Преображенская площадь,428.4056925396633
3,5,1,31.2,10450000.0,Богородское,Бойцовая ,14К1,Бульвар Рокоссовского,921.4262356556177
19,27,1,46.7,26248700.0,Басманный, Фридриха Энгельса,56С9,Бауманская,986.1243898933393
1,5,1,22.0,10500000.0,Перово,Зеленый проспект,25К3,Перово,203.79725756804922
12,12,1,35.6,10700000.0,Северное Тушино,Планерная ,20к1,Планерная,653.6588700974493
3,9,1,36.0,10800000.0,Теплый Стан, Теплый Стан,21К5,Генерала Тюленева,325.6534618397348
10,15,1,48.2,43076340.0,Даниловский, Серпуховский Вал,7с5,Тульская,398.9273178241214
5,15,1,36.3,10990000.0,Молжаниновский,Ленинградское шоссе,228к4,Молжаниново,977.5397531106687
8,15,1,31.1,29675620.0,Даниловский, Серпуховский Вал,7с16,Тульская,398.9273178241214
16,16,1,39.0,11000000.0,Южное Бутово, Адмирала Лазарева,11,Бульвар Адмирала Ушакова,231.2898655949552
6,8,1,35.6,7643320.0,Бибирево, Корнейчука,27,Алтуфьево,2428.2059268447256
25,28,1,34.6,7605426.0,Крюково,Зеленоград,6.6,Зеленоград — Крюково,1208.406147361393
3,28,1,32.3,7696185.0,Крюково,Зеленоград,6.6,Зеленоград — Крюково,1208.406147361393
9,11,1,32.6,7721114.0,Крюково,Зеленоград,6.1,Зеленоград — Крюково,1208.406147361393
2,12,1,36.2,7835272.0,Крюково,Зеленоград,6.5,Зеленоград — Крюково,1208.406147361393
2,28,1,37.1,7999798.0,Крюково,Зеленоград,6.6,Зеленоград — Крюково,1208.406147361393
1,11,1,34.8,8007897.0,Крюково,Зеленоград,6.1,Зеленоград — Крюково,1208.406147361393
25,25,1,35.1,8144955.0,Крюково,Зеленоград,6.4,Зеленоград — Крюково,1208.406147361393
5,8,1,38.0,8067400.0,Бибирево, Корнейчука,27,Алтуфьево,2428.2059268447256
6,8,1,37.2,8206320.0,Бибирево, Корнейчука,27,Алтуфьево,2428.2059268447256
11,11,1,36.1,8167119.0,Крюково,Зеленоград,6.1,Зеленоград — Крюково,1208.406147361393
8,8,1,34.0,8197400.0,Бибирево, Корнейчука,27,Алтуфьево,2428.2059268447256
2,12,1,32.5,8267610.0,Крюково,Зеленоград,6.5,Зеленоград — Крюково,1208.406147361393
7,28,1,37.9,8311470.0,Крюково,Зеленоград,6.6,Зеленоград — Крюково,1208.406147361393
4,23,1,25.9,8442266.0,Куркино,Куркинское шоссе,15С3,Химки,3193.712853316351
1,17,1,32.1,8491855.0,Молжаниновский,Ленинградское шоссе,229Ак1,Новоподрезково,548.6089577131866
24,25,1,36.5,8521947.0,Крюково,Зеленоград,6.4,Зеленоград — Крюково,1208.406147361393
8,11,1,32.1,8509645.0,Крюково,Зеленоград,6.3,Зеленоград — Крюково,1208.406147361393
11,11,1,33.8,8670714.0,Крюково,Зеленоград,6.3,Зеленоград — Крюково,1208.406147361393
3,9,1,31.3,8800000.0,Метрогородок,Открытое шоссе,26к12А,Бульвар Рокоссовского,2280.267215221442
13,24,1,32.7,8861700.0,Тимирязевский,к3.6,к3.6,Окружная,10339.151627065146
5,23,1,22.7,8978405.0,Отрадное,Сигнальный проезд,12,Владыкино,295.7370770385554
2,23,1,29.4,8963718.0,Куркино,Куркинское шоссе,15С3,Химки,3193.712853316351
1,17,1,34.5,8946035.0,Молжаниновский,Ленинградское шоссе,229Ак1,Новоподрезково,548.6089577131866
4,24,1,34.9,9092985.0,Тимирязевский,к3.6,к3.6,Окружная,10339.151627065146
